#1=α 2=ρ 3=δq 4=qh0 5=δqh 6=ρh 7=ϕ
2.0 0.49 1.551608257795246 0.31562050750721937 0.6444925740605091 0.3158013612896494 -0.03979159975399463
2.0 0.48 1.5539183800152698 0.3187240826818538 0.6435344435466253 0.3088965329023801 -0.04000069884452995
2.0 0.47 1.5583348098329135 0.32083372403235444 0.6417106219344617 0.301603992309197 -0.04020045609991543
2.0 0.46 1.5614404599153089 0.32336456068371433 0.6404342821078424 0.2945997697696075 -0.04039103397096755
2.0 0.45 1.5675162615309948 0.32457097565163906 0.637951914465818 0.28707836150961813 -0.040573102376986026
2.0 0.44 1.5698969471198643 0.3271834991824818 0.6369844860419671 0.2802731738584655 -0.040746603733185394
2.0 0.43 1.5783114611857345 0.327223723672887 0.6335885055594365 0.2724430573905577 -0.04091226051554375
2.0 0.42 1.5791141914774085 0.33027183210521116 0.6332664258209261 0.26597189884478895 -0.041070156329649554
2.0 0.41 1.5790246065518714 0.3336491483096893 0.6333023537763024 0.259653965048284 -0.041220377934118035
2.0 0.4 1.5865856838030858 0.3336849463408953 0.6302842703099242 0.25211370812396966 -0.04136415173677577
2.0 0.39 1.5930567510636295 0.3341152010616355 0.6277240276169284 0.24481237077060206 -0.041500845349566606
2.0 0.38 1.5924977341104458 0.3373787815785789 0.6279443785573676 0.2386188638517997 -0.04163097277540606
2.0 0.37 1.5966918912925567 0.3385368763098029 0.62629490727261 0.23172911569086568 -0.04175497350779889
2.0 0.36 1.60334351765257 0.3385907842989866 0.6236966620004702 0.22453079832016928 -0.04187299509691139
2.0 0.35 1.6068088943054117 0.339877481714268 0.6223515463127169 0.21782304120945092 -0.04198524315612745
2.0 0.34 1.6103282341184657 0.3410595661446081 0.6209914095851553 0.2111370792589528 -0.04209198519932977
2.0 0.33 1.6112396950147079 0.3432410622394855 0.6206401214506273 0.20481124007870702 -0.04219346371450827
2.0 0.32 1.613991244752858 0.34456496655899116 0.6195820474559791 0.19826625518591331 -0.0422898526745879
2.0 0.31 1.6174648425321274 0.3454963515281406 0.6182514597563114 0.19165795252445653 -0.04238139994307927
2.0 0.3 1.6163170319462894 0.34833166906445 0.6186905045452928 0.18560715136358785 -0.042467964406543546
2.0 0.29 1.6232416903650169 0.34759621514446337 0.61605120539698 0.17865484956512417 -0.042550643813964006
2.0 0.28 1.6259325288323871 0.34860241027168115 0.6150316709132567 0.1722088678557119 -0.04262871255484846
2.0 0.27 1.6286435955961962 0.34951679550587755 0.6140078791357239 0.16578212736664547 -0.0427026445307907
